JASON NOTICE SYSTEM - COMPLETE EMAIL LIST
Generated: December 26, 2025
============================================================

PHASE 1: TOMORROW (Dec 27 - Birthday Launch) - 12 emails
------------------------------------------------------------
  nuntiususa@nuntiususa.org                Apostolic Nunciature (US)
  info@seattlearchdiocese.org              Archdiocese of Seattle
  info@dioceseofspokane.org                Diocese of Spokane
  info@yakimadiocese.org                   Diocese of Yakima
  info@milarch.org                         Archdiocese for Military Services
  info@adw.org                             Archdiocese of Washington
  info@dwc.org                             Diocese of Wheeling-Charleston
  info@archmil.org                         Archdiocese of Milwaukee
  info@gbdioc.org                          Diocese of Green Bay
  info@diolc.org                           Diocese of La Crosse
  info@madisondiocese.org                  Diocese of Madison
  info@catholicdos.org                     Diocese of Superior
  info@dcwy.org                            Diocese of Cheyenne


============================================================
TOTAL: Phase 1 = 12 emails | Phase 2 = 176 emails
GRAND TOTAL: 188 emails ready to send
